Randomizer Version: 4.6.0-dev
Random Seed: 166429477210202
Settings String: 321WRIEEnKKAo0CkAKRAAKeBhtESQEAFAACCQAuMgAAAAACwhCI2gTkwYYICTIHBwMyAAUYAsIQiAAAAAAJUG9rZW1vbiBYsrKwYoTcQEI=

--Randomized Evolutions--
Bulbasaur       -> Nidorino       
129 Magikarp         |TM01 Confide |              - |              - |TM04 Aura Sphere |TM05 Sludge |TM06 Fire Blast |                - |               - |                - |TM10 Retaliate |               - |             - |TM13 Amnesia |         - |TM15 Frenzy Plant |                - |              - |           - |             - |TM20 Taunt |             - |             - |TM23 Stomp |TM24 Freeze Shock |         - |TM26 Spacial Rend |TM27 Meditate |TM28 Dig |         - |           - |          - |TM32 Water Gun |TM33 Rock Blast |         - |              - |TM36 Diamond Storm |                - |TM38 Follow Me |TM39 Spike Cannon |             - |           - |           - |                - |        - |               - |               - |TM47 Shadow Claw |TM48 Metal Claw |              - |               - |TM51 Fairy Wind |              - |TM53 Hyper Beam |TM54 Bug Bite |        - |TM56 Megahorn |                 - |                - |TM59 Thousand Arrows |TM60 Iron Tail |TM61 Force Palm |               - |              - |                 - |               - |TM66 Magic Coat |TM67 Night Daze |TM68 Quiver Dance |              - |         - |           - |TM72 Mist |          - |                  - |TM75 Signal Beam |TM76 Mimic |TM77 Iron Defense |              - |TM79 Double Team |               - |         - |                 - |              - |TM84 Hyper Fang |TM85 Giga Drain |        - |               - |TM88 Psywave |                - |TM90 Zap Cannon |                - |TM92 Magma Storm |TM93 Rock Slide |TM94 Rock Smash |            - |TM96 Icy Wind |TM97 Acrobatics |            - |TM99 Ember |TM100 Low Sweep |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Waterfall |
130 Gyarados         |TM01 Confide |TM02 Poison Jab |              - |               - |TM05 Sludge |              - |                - |               - |                - |             - |               - |             - |TM13 Amnesia |         - |                - |                - |              - |TM18 Inferno |             - |TM20 Taunt |TM21 Electrify |TM22 Aqua Ring |         - |                - |         - |TM26 Spacial Rend |            - |TM28 Dig |TM29 Growl |           - |TM31 Splash |             - |TM33 Rock Blast |         - |              - |TM36 Diamond Storm |                - |             - |TM39 Spike Cannon |             - |TM41 Pay Day |           - |                - |TM44 Yawn |               - |               - |TM47 Shadow Claw |TM48 Metal Claw |              - |               - |TM51 Fairy Wind |              - |              - |TM54 Bug Bite |        - |TM56 Megahorn |TM57 Phantom Force |                - |                   - |TM60 Iron Tail |TM61 Force Palm |               - |              - |                 - |TM65 String Shot |              - |              - |TM68 Quiver Dance |TM69 Mega Drain |         - |TM71 Reflect |        - |TM73 Sketch |TM74 Smelling Salts |               - |         - |TM77 Iron Defense |              - |               - |TM80 Heart Stamp |         - |                 - |TM83 Wide Guard |              - |              - |        - |TM87 Guard Split |TM88 Psywave |TM89 Weather Ball |              - |TM91 Reflect Type |               - |TM93 Rock Slide |              - |TM95 Bug Buzz |TM96 Icy Wind |              - |            - |         - |TM100 Low Sweep |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Waterfall |
131 Lapras           |TM01 Confide |              - |TM03 Mega Punch |TM04 Aura Sphere |TM05 Sludge |              - |                - |               - |                - |             - |               - |             - |           - |TM14 Scald |                - |TM16 Icicle Spear |              - |TM18 Inferno |TM19 Rock Tomb |TM20 Taunt |TM21 Electrify |TM22 Aqua Ring |         - |                - |         - |TM26 Spacial Rend |TM27 Meditate |       - |         - |           - |TM31 Splash |             - |TM33 Rock Blast |TM34 Round |              - |                 - |TM37 Cross Poison |TM38 Follow Me |                - |             - |           - |           - |TM43 Fusion Flare |        - |TM45 Double Slap |TM46 Smokescreen |TM47 Shadow Claw |              - |              - |TM50 Metal Sound |TM51 Fairy Wind |TM52 Hydro Pump |TM53 Hyper Beam |TM54 Bug Bite |TM55 Rest |            - |TM57 Phantom Force |TM58 Luster Purge |                   - |             - |              - |TM62 Volt Tackle |              - |                 - |TM65 String Shot |              - |              - |TM68 Quiver Dance |              - |TM70 Flash |           - |        - |          - |TM74 Smelling Salts |TM75 Signal Beam |TM76 Mimic |                - |TM78 Horn Leech |               - |               - |         - |TM82 Thunder Punch |TM83 Wide Guard |              - |              - |TM86 Haze |               - |TM88 Psywave |                - |TM90 Zap Cannon |TM91 Reflect Type |               - |TM93 Rock Slide |TM94 Rock Smash |TM95 Bug Buzz |TM96 Icy Wind |TM97 Acrobatics |TM98 Headbutt |         - |TM100 Low Sweep |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Waterfall |
132 Ditto            |           - |TM02 Poison Jab |TM03 Mega Punch |               - |TM05 Sludge |TM06 Fire Blast |TM07 Wake-Up Slap |               - |                - |             - |TM11 Shadow Ball |             - |TM13 Amnesia |         - |TM15 Frenzy Plant |                - |              - |TM18 Inferno |             - |         - |             - |TM22 Aqua Ring |TM23 Stomp |TM24 Freeze Shock |         - |TM26 Spacial Rend |            - |TM28 Dig |         - |           - |          - |             - |              - |         - |              - |                 - |TM37 Cross Poison |             - |TM39 Spike Cannon |             - |           - |TM42 Counter |TM43 Fusion Flare |        - |               - |TM46 Smokescreen |TM47 Shadow Claw |TM48 Metal Claw |              - |TM50 Metal Sound |TM51 Fairy Wind |              - |TM53 Hyper Beam |            - |        - |            - |TM57 Phantom Force |TM58 Luster Purge |                   - |             - |TM61 Force Palm |TM62 Volt Tackle |TM63 Noble Roar |                 - |TM65 String Shot |TM66 Magic Coat |              - |TM68 Quiver Dance |              - |TM70 Flash |TM71 Reflect |        - |          - |                  - |TM75 Signal Beam |TM76 Mimic |TM77 Iron Defense |              - |TM79 Double Team |TM80 Heart Stamp |TM81 Quash |TM82 Thunder Punch |TM83 Wide Guard |              - |TM85 Giga Drain |        - |               - |TM88 Psywave |TM89 Weather Ball |              - |                - |TM92 Magma Storm |              - |TM94 Rock Smash |TM95 Bug Buzz |TM96 Icy Wind |              - |            - |TM99 Ember |TM100 Low Sweep |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Waterfall |
133 Eevee            |           - |TM02 Poison Jab |TM03 Mega Punch |TM04 Aura Sphere |TM05 Sludge |TM06 Fire Blast |                - |               - |                - |             - |TM11 Shadow Ball |             - |           - |         - |                - |TM16 Icicle Spear |              - |           - |TM19 Rock Tomb |         - |TM21 Electrify |TM22 Aqua Ring |         - |                - |         - |                - |TM27 Meditate |TM28 Dig |TM29 Growl |TM30 Psybeam |          - |TM32 Water Gun |TM33 Rock Blast |TM34 Round |TM35 Acid Armor |                 - |                - |TM38 Follow Me |                - |             - |           - |TM42 Counter |                - |        - |TM45 Double Slap |               - |TM47 Shadow Claw |TM48 Metal Claw |              - |               - |              - |              - |TM53 Hyper Beam |TM54 Bug Bite |        - |TM56 Megahorn |                 - |                - |TM59 Thousand Arrows |             - |              - |               - |              - |                 - |               - |              - |TM67 Night Daze |                - |              - |         - |           - |TM72 Mist |          - |                  - |               - |TM76 Mimic |                - |              - |               - |TM80 Heart Stamp |         - |TM82 Thunder Punch |              - |TM84 Hyper Fang |              - |TM86 Haze |               - |           - |                - |TM90 Zap Cannon |TM91 Reflect Type |               - |              - |TM94 Rock Smash |            - |TM96 Icy Wind |TM97 Acrobatics |TM98 Headbutt |TM99 Ember |TM100 Low Sweep |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Waterfall |
134 Vaporeon         |TM01 Confide |              - |              - |               - |TM05 Sludge |TM06 Fire Blast |TM07 Wake-Up Slap |TM08 Comet Punch |TM09 Electro Ball |TM10 Retaliate |TM11 Shadow Ball |TM12 Metronome |TM13 Amnesia |         - |TM15 Frenzy Plant |                - |              - |TM18 Inferno |TM19 Rock Tomb |TM20 Taunt |             - |TM22 Aqua Ring |         - |TM24 Freeze Shock |         - |TM26 Spacial Rend |            - |       - |TM29 Growl |TM30 Psybeam |          - |             - |              - |TM34 Round |              - |                 - |                - |TM38 Follow Me |TM39 Spike Cannon |             - |TM41 Pay Day |TM42 Counter |                - |TM44 Yawn |TM45 Double Slap |TM46 Smokescreen |TM47 Shadow Claw |              - |TM49 Punishment |               - |              - |TM52 Hydro Pump |TM53 Hyper Beam |TM54 Bug Bite |TM55 Rest |            - |TM57 Phantom Force |                - |                   - |             - |              - |TM62 Volt Tackle |TM63 Noble Roar |                 - |               - |              - |              - |                - |TM69 Mega Drain |TM70 Flash |TM71 Reflect |TM72 Mist |          - |TM74 Smelling Salts |               - |         - |TM77 Iron Defense |              - |               - |               - |         - |TM82 Thunder Punch |TM83 Wide Guard |              - |TM85 Giga Drain |        - |               - |TM88 Psywave |                - |TM90 Zap Cannon |                - |TM92 Magma Storm |TM93 Rock Slide |TM94 Rock Smash |            - |            - |              - |            - |         - |TM100 Low Sweep |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Waterfall |
135 Jolteon          |           - |              - |TM03 Mega Punch |TM04 Aura Sphere |TM05 Sludge |              - |TM07 Wake-Up Slap |TM08 Comet Punch |                - |             - |               - |             - |TM13 Amnesia |         - |                - |TM16 Icicle Spear |TM17 Sonic Boom |           - |             - |         - |TM21 Electrify |TM22 Aqua Ring |         - |                - |         - |                - |TM27 Meditate |TM28 Dig |         - |           - |TM31 Splash |TM32 Water Gun |TM33 Rock Blast |         - |TM35 Acid Armor |                 - |                - |             - |TM39 Spike Cannon |TM40 Sunny Day |           - |           - |TM43 Fusion Flare |TM44 Yawn |               - |               - |TM47 Shadow Claw |TM48 Metal Claw |TM49 Punishment |               - |TM51 Fairy Wind |              - |TM53 Hyper Beam |            - |TM55 Rest |TM56 Megahorn |TM57 Phantom Force |                - |TM59 Thousand Arrows |TM60 Iron Tail |              - |               - |TM63 Noble Roar |                 - |TM65 String Shot |TM66 Magic Coat |TM67 Night Daze |TM68 Quiver Dance |TM69 Mega Drain |         - |TM71 Reflect |        - |          - |TM74 Smelling Salts |TM75 Signal Beam |         - |                - |              - |               - |TM80 Heart Stamp |         - |TM82 Thunder Punch |              - |              - |              - |        - |TM87 Guard Split |TM88 Psywave |TM89 Weather Ball |              - |                - |               - |TM93 Rock Slide |              - |TM95 Bug Buzz |TM96 Icy Wind |              - |            - |         - |             - |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Waterfall |
136 Flareon          |TM01 Confide |              - |              - |TM04 Aura Sphere |TM05 Sludge |TM06 Fire Blast |                - |               - |TM09 Electro Ball |TM10 Retaliate |               - |TM12 Metronome |           - |         - |                - |TM16 Icicle Spear |TM17 Sonic Boom |TM18 Inferno |             - |TM20 Taunt |             - |             - |         - |TM24 Freeze Shock |         - |TM26 Spacial Rend |TM27 Meditate |TM28 Dig |TM29 Growl |           - |          - |TM32 Water Gun |              - |TM34 Round |              - |TM36 Diamond Storm |                - |TM38 Follow Me |TM39 Spike Cannon |TM40 Sunny Day |TM41 Pay Day |           - |TM43 Fusion Flare |        - |TM45 Double Slap |               - |TM47 Shadow Claw |              - |TM49 Punishment |TM50 Metal Sound |              - |              - |TM53 Hyper Beam |TM54 Bug Bite |TM55 Rest |            - |TM57 Phantom Force |                - |TM59 Thousand Arrows |TM60 Iron Tail |              - |               - |              - |TM64 Light of Ruin |TM65 String Shot |TM66 Magic Coat |TM67 Night Daze |                - |              - |TM70 Flash |TM71 Reflect |        - |          - |                  - |               - |         - |TM77 Iron Defense |              - |TM79 Double Team |TM80 Heart Stamp |         - |                 - |TM83 Wide Guard |TM84 Hyper Fang |              - |        - |               - |           - |TM89 Weather Ball |              - |TM91 Reflect Type |TM92 Magma Storm |              - |              - |TM95 Bug Buzz |TM96 Icy Wind |TM97 Acrobatics |TM98 Headbutt |         - |TM100 Low Sweep |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Waterfall |
137 Porygon          |           - |TM02 Poison Jab |TM03 Mega Punch |               - |          - |TM06 Fire Blast |                - |               - |                - |TM10 Retaliate |               - |TM12 Metronome |           - |TM14 Scald |TM15 Frenzy Plant |TM16 Icicle Spear |TM17 Sonic Boom |           - |TM19 Rock Tomb |TM20 Taunt |             - |             - |         - |TM24 Freeze Shock |         - |TM26 Spacial Rend |            - |TM28 Dig |         - |           - |TM31 Splash |TM32 Water Gun |              - |         - |TM35 Acid Armor |TM36 Diamond Storm |TM37 Cross Poison |TM38 Follow Me |                - |TM40 Sunny Day |           - |TM42 Counter |                - |        - |               - |TM46 Smokescreen |               - |TM48 Metal Claw |              - |TM50 Metal Sound |              - |TM52 Hydro Pump |              - |TM54 Bug Bite |TM55 Rest |TM56 Megahorn |                 - |TM58 Luster Purge |TM59 Thousand Arrows |             - |TM61 Force Palm |               - |              - |                 - |               - |              - |              - |                - |              - |         - |           - |        - |TM73 Sketch |TM74 Smelling Salts |TM75 Signal Beam |         - |TM77 Iron Defense |              - |TM79 Double Team |TM80 Heart Stamp |         - |                 - |              - |              - |              - |        - |               - |TM88 Psywave |                - |TM90 Zap Cannon |                - |               - |TM93 Rock Slide |TM94 Rock Smash |            - |            - |TM97 Acrobatics |TM98 Headbutt |         - |             - |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Waterfall |
138 Omanyte          |           - |TM02 Poison Jab |              - |TM04 Aura Sphere |TM05 Sludge |              - |TM07 Wake-Up Slap |TM08 Comet Punch |                - |TM10 Retaliate |TM11 Shadow Ball |             - |TM13 Amnesia |         - |                - |TM16 Icicle Spear |              - |TM18 Inferno |TM19 Rock Tomb |         - |TM21 Electrify |             - |TM23 Stomp |TM24 Freeze Shock |TM25 Toxic |                - |            - |       - |         - |           - |TM31 Splash |TM32 Water Gun |              - |         - |              - |                 - |TM37 Cross Poison |TM38 Follow Me |TM39 Spike Cannon |TM40 Sunny Day |TM41 Pay Day |           - |                - |TM44 Yawn |               - |TM46 Smokescreen |TM47 Shadow Claw |              - |TM49 Punishment |TM50 Metal Sound |              - |TM52 Hydro Pump |TM53 Hyper Beam |            - |        - |            - |TM57 Phantom Force |                - |                   - |TM60 Iron Tail |              - |               - |TM63 Noble Roar |TM64 Light of Ruin |TM65 String Shot |TM66 Magic Coat |              - |TM68 Quiver Dance |              - |TM70 Flash |           - |TM72 Mist |TM73 Sketch |                  - |TM75 Signal Beam |TM76 Mimic |                - |TM78 Horn Leech |TM79 Double Team |               - |TM81 Quash |                 - |              - |TM84 Hyper Fang |TM85 Giga Drain |        - |TM87 Guard Split |           - |TM89 Weather Ball |              - |                - |               - |TM93 Rock Slide |              - |            - |TM96 Icy Wind |TM97 Acrobatics |TM98 Headbutt |         - |             - |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Waterfall |
139 Omastar          |TM01 Confide |              - |              - |               - |          - |              - |                - |               - |TM09 Electro Ball |TM10 Retaliate |               - |             - |TM13 Amnesia |TM14 Scald |                - |                - |              - |           - |             - |TM20 Taunt |             - |             - |TM23 Stomp |                - |         - |                - |TM27 Meditate |TM28 Dig |         - |TM30 Psybeam |TM31 Splash |TM32 Water Gun |TM33 Rock Blast |TM34 Round |              - |TM36 Diamond Storm |TM37 Cross Poison |TM38 Follow Me |TM39 Spike Cannon |             - |           - |           - |TM43 Fusion Flare |        - |               - |TM46 Smokescreen |               - |TM48 Metal Claw |              - |TM50 Metal Sound |TM51 Fairy Wind |TM52 Hydro Pump |TM53 Hyper Beam |TM54 Bug Bite |TM55 Rest |TM56 Megahorn |                 - |TM58 Luster Purge |TM59 Thousand Arrows |TM60 Iron Tail |TM61 Force Palm |TM62 Volt Tackle |              - |                 - |               - |              - |TM67 Night Daze |                - |              - |TM70 Flash |TM71 Reflect |TM72 Mist |          - |TM74 Smelling Salts |TM75 Signal Beam |         - |                - |              - |               - |TM80 Heart Stamp |TM81 Quash |                 - |TM83 Wide Guard |              - |TM85 Giga Drain |        - |TM87 Guard Split |TM88 Psywave |TM89 Weather Ball |TM90 Zap Cannon |TM91 Reflect Type |TM92 Magma Storm |TM93 Rock Slide |TM94 Rock Smash |            - |TM96 Icy Wind |              - |TM98 Headbutt |TM99 Ember |TM100 Low Sweep |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Waterfall |
140 Kabuto           |           - |              - |TM03 Mega Punch |               - |          - |TM06 Fire Blast |                - |               - |                - |             - |TM11 Shadow Ball |             - |           - |TM14 Scald |                - |TM16 Icicle Spear |TM17 Sonic Boom |           - |             - |TM20 Taunt |TM21 Electrify |             - |         - |                - |         - |TM26 Spacial Rend |            - |       - |TM29 Growl |           - |          - |TM32 Water Gun |              - |         - |TM35 Acid Armor |                 - |TM37 Cross Poison |             - |TM39 Spike Cannon |TM40 Sunny Day |           - |TM42 Counter |                - |TM44 Yawn |               - |TM46 Smokescreen |               - |              - |TM49 Punishment |               - |TM51 Fairy Wind |              - |              - |            - |        - |            - |                 - |                - |                   - |             - |              - |TM62 Volt Tackle |TM63 Noble Roar |TM64 Light of Ruin |TM65 String Shot |TM66 Magic Coat |              - |                - |TM69 Mega Drain |TM70 Flash |           - |TM72 Mist |          - |                  - |               - |TM76 Mimic |TM77 Iron Defense |TM78 Horn Leech |TM79 Double Team |               - |TM81 Quash |TM82 Thunder Punch |TM83 Wide Guard |TM84 Hyper Fang |              - |TM86 Haze |TM87 Guard Split |           - |                - |TM90 Zap Cannon |TM91 Reflect Type |TM92 Magma Storm |TM93 Rock Slide |TM94 Rock Smash |TM95 Bug Buzz |            - |TM97 Acrobatics |            - |TM99 Ember |TM100 Low Sweep |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Waterfall |
141 Kabutops         |           - |              - |TM03 Mega Punch |TM04 Aura Sphere |          - |              - |TM07 Wake-Up Slap |TM08 Comet Punch |                - |TM10 Retaliate |               - |TM12 Metronome |TM13 Amnesia |TM14 Scald |TM15 Frenzy Plant |                - |TM17 Sonic Boom |TM18 Inferno |             - |TM20 Taunt |TM21 Electrify |             - |         - |TM24 Freeze Shock |TM25 Toxic |                - |            - |TM28 Dig |         - |TM30 Psybeam |TM31 Splash |             - |              - |TM34 Round |              - |                 - |TM37 Cross Poison |             - |                - |             - |TM41 Pay Day |           - |TM43 Fusion Flare |TM44 Yawn |TM45 Double Slap |               - |TM47 Shadow Claw |TM48 Metal Claw |TM49 Punishment |               - |              - |TM52 Hydro Pump |TM53 Hyper Beam |TM54 Bug Bite |        - |            - |                 - |                - |TM59 Thousand Arrows |             - |TM61 Force Palm |TM62 Volt Tackle |              - |                 - |               - |TM66 Magic Coat |TM67 Night Daze |TM68 Quiver Dance |              - |TM70 Flash |TM71 Reflect |TM72 Mist |          - |                  - |TM75 Signal Beam |TM76 Mimic |TM77 Iron Defense |              - |               - |TM80 Heart Stamp |         - |                 - |              - |              - |              - |TM86 Haze |TM87 Guard Split |TM88 Psywave |TM89 Weather Ball |              - |TM91 Reflect Type |TM92 Magma Storm |              - |TM94 Rock Smash |TM95 Bug Buzz |            - |              - |            - |         - |TM100 Low Sweep |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Waterfall |
142 Aerodactyl       |           - |              - |              - |TM04 Aura Sphere |TM05 Sludge |              - |TM07 Wake-Up Slap |TM08 Comet Punch |TM09 Electro Ball |             - |TM11 Shadow Ball |TM12 Metronome |TM13 Amnesia |         - |                - |TM16 Icicle Spear |              - |           - |             - |         - |             - |TM22 Aqua Ring |         - |TM24 Freeze Shock |TM25 Toxic |                - |TM27 Meditate |       - |         - |           - |TM31 Splash |             - |TM33 Rock Blast |TM34 Round |              - |                 - |                - |             - |TM39 Spike Cannon |             - |TM41 Pay Day |           - |                - |TM44 Yawn |               - |               - |TM47 Shadow Claw |              - |              - |               - |TM51 Fairy Wind |              - |TM53 Hyper Beam |TM54 Bug Bite |TM55 Rest |            - |                 - |                - |                   - |             - |              - |TM62 Volt Tackle |TM63 Noble Roar |TM64 Light of Ruin |TM65 String Shot |TM66 Magic Coat |TM67 Night Daze |TM68 Quiver Dance |              - |TM70 Flash |           - |TM72 Mist |TM73 Sketch |                  - |               - |TM76 Mimic |TM77 Iron Defense |              - |TM79 Double Team |TM80 Heart Stamp |         - |                 - |TM83 Wide Guard |TM84 Hyper Fang |TM85 Giga Drain |        - |               - |TM88 Psywave |TM89 Weather Ball |              - |                - |TM92 Magma Storm |TM93 Rock Slide |TM94 Rock Smash |            - |TM96 Icy Wind |              - |TM98 Headbutt |TM99 Ember |             - |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Waterfall |
143 Snorlax          |           - |              - |              - |TM04 Aura Sphere |          - |TM06 Fire Blast |TM07 Wake-Up Slap |TM08 Comet Punch |TM09 Electro Ball |             - |TM11 Shadow Ball |TM12 Metronome |TM13 Amnesia |         - |TM15 Frenzy Plant |TM16 Icicle Spear |              - |TM18 Inferno |             - |         - |TM21 Electrify |TM22 Aqua Ring |TM23 Stomp |                - |         - |TM26 Spacial Rend |            - |       - |TM29 Growl |           - |          - |TM32 Water Gun |TM33 Rock Blast |TM34 Round |              - |TM36 Diamond Storm |TM37 Cross Poison |TM38 Follow Me |TM39 Spike Cannon |             - |           - |TM42 Counter |TM43 Fusion Flare |        - |TM45 Double Slap |               - |TM47 Shadow Claw |              - |              - |               - |              - |TM52 Hydro Pump |              - |            - |TM55 Rest |TM56 Megahorn |                 - |                - |TM59 Thousand Arrows |TM60 Iron Tail |TM61 Force Palm |               - |              - |TM64 Light of Ruin |TM65 String Shot |TM66 Magic Coat |TM67 Night Daze |TM68 Quiver Dance |TM69 Mega Drain |         - |TM71 Reflect |TM72 Mist |TM73 Sketch |TM74 Smelling Salts |TM75 Signal Beam |TM76 Mimic |TM77 Iron Defense |TM78 Horn Leech |               - |TM80 Heart Stamp |         - |                 - |TM83 Wide Guard |TM84 Hyper Fang |TM85 Giga Drain |TM86 Haze |TM87 Guard Split |TM88 Psywave |                - |              - |TM91 Reflect Type |TM92 Magma Storm |TM93 Rock Slide |              - |TM95 Bug Buzz |            - |              - |            - |         - |             - |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Waterfall |
144 Articuno         |TM01 Confide |              - |              - |               - |          - |              - |                - |TM08 Comet Punch |                - |             - |TM11 Shadow Ball |             - |TM13 Amnesia |TM14 Scald |TM15 Frenzy Plant |                - |              - |           - |             - |TM20 Taunt |             - |TM22 Aqua Ring |         - |TM24 Freeze Shock |         - |TM26 Spacial Rend |            - |       - |TM29 Growl |TM30 Psybeam |          - |TM32 Water Gun |              - |         - |TM35 Acid Armor |TM36 Diamond Storm |                - |TM38 Follow Me |TM39 Spike Cannon |TM40 Sunny Day |           - |           - |                - |        - |               - |               - |               - |TM48 Metal Claw |              - |               - |TM51 Fairy Wind |              - |              - |            - |TM55 Rest |            - |                 - |TM58 Luster Purge |                   - |TM60 Iron Tail |              - |               - |              - |                 - |TM65 String Shot |              - |              - |TM68 Quiver Dance |TM69 Mega Drain |         - |TM71 Reflect |TM72 Mist |          - |                  - |TM75 Signal Beam |         - |TM77 Iron Defense |TM78 Horn Leech |               - |TM80 Heart Stamp |TM81 Quash |                 - |TM83 Wide Guard |TM84 Hyper Fang |              - |TM86 Haze |               - |TM88 Psywave |TM89 Weather Ball |TM90 Zap Cannon |                - |               - |              - |TM94 Rock Smash |            - |            - |TM97 Acrobatics |TM98 Headbutt |         - |TM100 Low Sweep |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Waterfall |
145 Zapdos           |           - |              - |TM03 Mega Punch |               - |TM05 Sludge |              - |                - |               - |TM09 Electro Ball |             - |               - |             - |           - |         - |TM15 Frenzy Plant |TM16 Icicle Spear |              - |TM18 Inferno |TM19 Rock Tomb |TM20 Taunt |TM21 Electrify |TM22 Aqua Ring |TM23 Stomp |                - |TM25 Toxic |TM26 Spacial Rend |TM27 Meditate |TM28 Dig |         - |           - |TM31 Splash |TM32 Water Gun |TM33 Rock Blast |TM34 Round |              - |                 - |                - |             - |TM39 Spike Cannon |             - |           - |           - |                - |        - |TM45 Double Slap |TM46 Smokescreen |TM47 Shadow Claw |TM48 Metal Claw |              - |TM50 Metal Sound |              - |TM52 Hydro Pump |              - |            - |        - |            - |TM57 Phantom Force |                - |TM59 Thousand Arrows |TM60 Iron Tail |TM61 Force Palm |               - |TM63 Noble Roar |TM64 Light of Ruin |               - |TM66 Magic Coat |TM67 Night Daze |                - |              - |TM70 Flash |           - |        - |          - |TM74 Smelling Salts |TM75 Signal Beam |         - |                - |              - |TM79 Double Team |TM80 Heart Stamp |TM81 Quash |                 - |TM83 Wide Guard |TM84 Hyper Fang |TM85 Giga Drain |TM86 Haze |               - |           - |                - |              - |TM91 Reflect Type |TM92 Magma Storm |TM93 Rock Slide |              - |TM95 Bug Buzz |TM96 Icy Wind |TM97 Acrobatics |            - |TM99 Ember |             - |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Waterfall |
146 Moltres          |TM01 Confide |TM02 Poison Jab |TM03 Mega Punch |               - |          - |              - |                - |               - |                - |             - |TM11 Shadow Ball |             - |           - |TM14 Scald |                - |                - |              - |           - |TM19 Rock Tomb |TM20 Taunt |             - |TM22 Aqua Ring |         - |TM24 Freeze Shock |TM25 Toxic |TM26 Spacial Rend |TM27 Meditate |TM28 Dig |TM29 Growl |           - |          - |TM32 Water Gun |              - |         - |TM35 Acid Armor |TM36 Diamond Storm |                - |             - |                - |TM40 Sunny Day |           - |TM42 Counter |                - |        - |TM45 Double Slap |               - |TM47 Shadow Claw |TM48 Metal Claw |TM49 Punishment |               - |TM51 Fairy Wind |TM52 Hydro Pump |TM53 Hyper Beam |TM54 Bug Bite |TM55 Rest |            - |                 - |                - |                   - |TM60 Iron Tail |TM61 Force Palm |               - |TM63 Noble Roar |                 - |               - |TM66 Magic Coat |TM67 Night Daze |                - |TM69 Mega Drain |TM70 Flash |           - |TM72 Mist |TM73 Sketch |                  - |               - |TM76 Mimic |TM77 Iron Defense |              - |TM79 Double Team |TM80 Heart Stamp |         - |TM82 Thunder Punch |TM83 Wide Guard |TM84 Hyper Fang |              - |TM86 Haze |TM87 Guard Split |           - |TM89 Weather Ball |TM90 Zap Cannon |TM91 Reflect Type |               - |TM93 Rock Slide |TM94 Rock Smash |TM95 Bug Buzz |            - |              - |            - |         - |TM100 Low Sweep |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Waterfall |
147 Dratini          |           - |TM02 Poison Jab |              - |TM04 Aura Sphere |TM05 Sludge |              - |                - |               - |                - |TM10 Retaliate |TM11 Shadow Ball |             - |TM13 Amnesia |         - |TM15 Frenzy Plant |                - |              - |           - |             - |         - |             - |             - |TM23 Stomp |TM24 Freeze Shock |TM25 Toxic |TM26 Spacial Rend |            - |       - |TM29 Growl |           - |          - |             - |              - |         - |TM35 Acid Armor |                 - |                - |             - |                - |             - |TM41 Pay Day |TM42 Counter |                - |TM44 Yawn |               - |               - |               - |              - |              - |               - |TM51 Fairy Wind |TM52 Hydro Pump |TM53 Hyper Beam |TM54 Bug Bite |        - |            - |                 - |TM58 Luster Purge |                   - |TM60 Iron Tail |              - |               - |              - |                 - |TM65 String Shot |              - |TM67 Night Daze |                - |TM69 Mega Drain |TM70 Flash |TM71 Reflect |        - |          - |                  - |               - |TM76 Mimic |TM77 Iron Defense |TM78 Horn Leech |TM79 Double Team |TM80 Heart Stamp |TM81 Quash |                 - |TM83 Wide Guard |              - |TM85 Giga Drain |TM86 Haze |TM87 Guard Split |           - |TM89 Weather Ball |              - |                - |TM92 Magma Storm |TM93 Rock Slide |TM94 Rock Smash |            - |            - |TM97 Acrobatics |TM98 Headbutt |TM99 Ember |             - |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Waterfall |
